c-a,,,,a-b,,,,b-c,,,,,,A1,B1,C1,,,A,B,C,,,,,A3,B3,C3,,,A4,B4,C4,,,,A5,B5,C5,,,,Phase A,A6,B6,C6,,,,,,A7,B7,C7,,,,,Phase B,A8,B8,C8,,,,Phase B,A9,B9,C9,,,,Phase C,A10,B10,C10,label
-1.025,0.617,0.408,,-1.025,0.617,0.408,,-1.025,0.617,0.408,,,,-1.025,0.617,0.408,,,-1.025,0.617,0.408,0,,0 is ground,,-1.025,0.617,0.408,1,,-1.025,0.617,0.408,1,,a,-1.025,0.617,0.408,1,,,a,-1.025,0.617,0.408,1,,,,ab new,-1.025,0.617,0.408,1,,,,a,-1.025,0.617,0.408,0,,,a,-1.025,0.617,0.408,0,,,a,-1.025,0.617,0.408,0
-1.029,0.586,0.444,,-1.029,0.586,0.444,,-1.029,0.586,0.444,,,,-1.029,0.586,0.444,,,-1.029,0.586,0.444,0,,,,-1.029,0.586,0.444,1,,-1.029,0.586,0.444,1,,,-1.029,0.586,0.444,1,,,,-1.029,0.586,0.444,1,,,,,-1.029,0.586,0.444,1,,,,,-1.029,0.586,0.444,0,,,,-1.029,0.586,0.444,0,,,,-1.029,0.586,0.444,0
-1.032,0.553,0.478,,-1.032,0.553,0.478,,-1.032,0.553,0.478,,,,-1.032,0.553,0.478,,,-1.032,0.553,0.478,0,,,,-1.032,0.553,0.478,1,,-1.032,0.553,0.478,1,,,-1.032,0.553,0.478,1,,,,-1.032,0.553,0.478,1,,,,,-1.032,0.553,0.478,1,,,,,-1.032,0.553,0.478,0,,,,-1.032,0.553,0.478,0,,,,-1.032,0.553,0.478,0
-1.032,0.52,0.513,,-1.032,0.52,0.513,,-1.032,0.52,0.513,,,,-1.032,0.52,0.513,,,-1.032,0.52,0.513,0,,,,-1.032,0.52,0.513,1,,-1.032,0.52,0.513,1,,,-1.032,0.52,0.513,1,,,,-1.032,0.52,0.513,1,,,,,-1.032,0.52,0.513,1,,,,,-1.032,0.52,0.513,0,,,,-1.032,0.52,0.513,0,,,,-1.032,0.52,0.513,0
-1.032,0.486,0.546,,-1.032,0.486,0.546,,-1.032,0.486,0.546,,,,-1.032,0.486,0.546,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,1,,-1.032,0.486,0.546,1,,,-1.032,0.486,0.546,1,,,,-1.032,0.486,0.546,1,,,,,-1.032,0.486,0.546,1,,,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,0
-1.032,0.486,0.546,,-1.032,0.486,0.546,,-1.032,0.486,0.546,,,,-1.032,0.486,0.546,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,1,,-1.032,0.486,0.546,1,,,-1.032,0.486,0.546,1,,,,-1.032,0.486,0.546,1,,,,,-1.032,0.486,0.546,1,,,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,0,,,,-1.032,0.486,0.546,0
-1.025,0.474,0.552,,-1.009,0.458,0.552,,-1.025,0.458,0.568,,,,-1.009,0.458,0.552,,,-1.02,0.468,0.552,0,,,,-1.009,0.458,0.552,1,,-1.009,0.458,0.552,1,,,-1.02,0.468,0.552,1,,,,-1.02,0.468,0.552,1,,,,,-1.009,0.458,0.552,1,,,,,-1.02,0.468,0.552,0,,,,-1.02,0.468,0.552,0,,,,-1.02,0.468,0.552,0
-1.01,0.464,0.546,,-0.953,0.407,0.546,,-1.01,0.408,0.603,,,,-0.953,0.407,0.546,,,-0.991,0.445,0.546,0,,,,-0.953,0.407,0.546,1,,-0.953,0.407,0.546,1,,,-0.991,0.445,0.546,1,,,,-0.991,0.445,0.546,1,,,,,-0.953,0.407,0.546,1,,,,,-0.991,0.445,0.546,0,,,,-0.991,0.445,0.546,0,,,,-0.991,0.445,0.546,0
-0.973,0.461,0.512,,-0.825,0.309,0.516,,-0.977,0.313,0.664,,,,-0.825,0.309,0.516,,,-0.924,0.412,0.512,0,,,,-0.825,0.309,0.516,1,,-0.825,0.309,0.516,1,,,-0.924,0.409,0.515,1,,,,-0.924,0.409,0.515,1,,,,,-0.825,0.309,0.516,1,,,,,-0.924,0.409,0.515,0,,,,-0.924,0.409,0.515,0,,,,-0.924,0.409,0.515,0
-0.922,0.471,0.451,,-0.648,0.188,0.461,,-0.932,0.198,0.734,,,,-0.648,0.188,0.461,,,-0.831,0.38,0.451,0,,,,-0.648,0.188,0.461,1,,-0.648,0.188,0.461,1,,,-0.831,0.373,0.457,1,,,,-0.831,0.373,0.457,1,,,,,-0.648,0.188,0.461,1,,,,,-0.831,0.373,0.457,0,,,,-0.831,0.373,0.457,0,,,,-0.831,0.373,0.457,0
